# BEAST v1.8.4
# Generated Fri Mar 27 11:06:13 CST 2026 [seed=1774580773037]
# -overwrite -beagle_off D:\naturedna\evoflux-reproduce\figures\reproduced\pisca_zenodo_fig4\fig4a_case12_zenodo.xml
state	posterior	prior	likelihood	biallelicBinary.demethylation	biallelicBinary.homozygousDemethylation	biallelicBinary.homozygousMethylation	treeModel.rootHeight	luca_height	luca_branch	constant.popSize	clock.rate	coalescent
0	-3259.6407170889697	-6.013268885672817	-3253.627448203297	1.0	1.0	1.0	14.333502603617426	83.642026	69.30852339638258	1.0	0.02	-1.2056638058610094
5000	-2450.125323372366	-12.797412645963998	-2437.327910726402	0.8982730526396625	0.9793224700333549	1.0	13.676171139844218	83.642026	69.96585486015579	3.5239181176348495	0.023975328498287447	-6.867580254641612
10000	-2452.5852475188594	-13.073047543937845	-2439.5121999749217	0.9164564969066361	1.1365272687352928	1.0036779716990833	14.343166745920106	83.642026	69.2988592540799	2.7427496498052855	0.020213852419520974	-7.154470976447689
15000	-2450.4358596894385	-13.13259048014034	-2437.3032692092984	0.9475078602605973	1.0783033948182665	1.0250585347565506	14.048988319073901	83.642026	69.5930376809261	2.8817563551483123	0.020852381731475998	-7.176257414970922
20000	-2455.2908792839294	-18.14426089681638	-2437.146618387113	1.0175250840962886	1.2030987525614245	1.2026076619004382	14.491390411939093	83.642026	69.15063558806091	19.939975948713503	0.019275471661815584	-9.675588272992158
25000	-2457.893151435753	-19.275912618522465	-2438.617238817231	1.0175250840962886	1.2145118245455733	1.0802832922136114	14.882748354255263	83.642026	68.75927764574473	28.999906328282457	0.021590854288386755	-10.591110930229297
30000	-2451.666816038261	-12.554172783414664	-2439.1126432548463	0.6920363391789301	0.9400766967786899	0.819941832019911	13.69492144135349	83.642026	69.94710455864652	4.620423668517179	0.02381093962810195	-6.873740089715355
35000	-2448.7690795949075	-12.64649404543168	-2436.122585549476	0.7695611267930037	1.0703950272202407	0.9353185262129797	13.638433909538909	83.642026	70.0035920904611	3.378330017546926	0.023507531357841	-6.870925490444532
40000	-2451.2616464803164	-13.59434844960551	-2437.6672980307108	0.7695611267930037	1.1397909220303526	0.8868516972939403	14.578567842989424	83.642026	69.06345815701057	5.17409663977451	0.02024104568550704	-7.378410397649827
45000	-2451.9340046455645	-13.161596375148621	-2438.772408270416	0.7438388340204429	1.0980813738382453	0.8868516972939403	13.981603831231835	83.642026	69.66042216876816	2.7747479164108944	0.019221791789239467	-7.670783245201733
